X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
1,4,1,0.04634911967,674050.938671037,672760.542584909,674911.000196141,674381.011370635,0.04634911967,0,2020.41813175465,2020.46448087432,400800000,SARS2-CoV/Belgium/Human/rega-0619917,VlaamsBrabant,VlaamsBrabant,3000,3000
2,4,5,0.0004375896105,674050.938671037,672760.542584909,674229.048702261,672890.406634426,0.0004375896105,0,2020.41813175465,2020.41856934426,400800000,NA,VlaamsBrabant,VlaamsBrabant,3000,3000
3,5,2,0.03771480874,674229.048702261,672890.406634426,687708.185568625,680251.200767863,0.0381523983505,0.0004375896105,2020.41856934426,2020.456284153,400800000,SARS2-CoV/Belgium/Human/rega-0616914,VlaamsBrabant,VlaamsBrabant,3000,3130
4,5,3,0.02132136612,674229.048702261,672890.406634426,675033.025780451,672976.815017649,0.0217589557305,0.0004375896105,2020.41856934426,2020.43989071038,400800000,hCoV-19/Belgium/rega-0710751/2020|EPI_ISL_522350|2020-06-10|Europe,VlaamsBrabant,VlaamsBrabant,3000,3000
5,43,6,0.152106612,647905.735805411,747731.09017864,694055.147066062,714199.272492906,0.152106612,0,2020.07466934426,2020.22677595626,400800000,hCoV-19/Belgium/BJ-0324192/2020|EPI_ISL_420412|2020-03-24|Europe,Liège,Limburg,4633,3582
6,43,44,0.06330543627,647905.735805411,747731.09017864,648053.951573593,747778.953534762,0.06330543627,0,2020.07466934426,2020.13797478053,400800000,NA,Liège,Liège,4633,4633
7,44,42,0.06147877138,648053.951573593,747778.953534762,648119.692039043,747797.47230533,0.12478420765,0.06330543627,2020.13797478053,2020.19945355191,400800000,hCoV-19/Belgium/ULG-6688/2020|EPI_ISL_418625|2020-03-14|Europe,Liège,Liège,4633,4633
8,44,45,0.02047456373,648053.951573593,747778.953534762,646561.316495206,761970.063832014,0.08378,0.06330543627,2020.13797478053,2020.15844934426,400800000,NA,Liège,Liège,4633,4830
9,45,47,0.0018,646561.316495206,761970.063832014,646459.007342068,761877.342353628,0.08558,0.08378,2020.15844934426,2020.16024934426,400800000,NA,Liège,Liège,4830,4830
10,45,46,0.02286312088,646561.316495206,761970.063832014,712490.654897089,554704.90381417,0.10664312088,0.08378,2020.15844934426,2020.18131246514,400800000,NA,Liège,West-Vlaanderen,4830,8460
11,46,7,0.05366021246,712490.654897089,554704.90381417,672629.935595357,578894.484997354,0.16030333334,0.10664312088,2020.18131246514,2020.2349726776,400800000,hCoV-19/Belgium/DAA-0327369/2020|EPI_ISL_462223|2020-03-27|Europe,West-Vlaanderen,West-Vlaanderen,8460,8540
