node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel
83,84,0.000488282584199973,670385.246887494,648701.083359469,670367.065390768,648769.994278735,0.000488282584199973,0,2020.21143812328,2020.21192640587,225200000,NA
83,93,3.2242834139995e-05,670385.246887494,648701.083359469,670382.785818671,648700.168952376,3.2242834139995e-05,0,2020.21143812328,2020.21147036612,225200000,NA
84,85,0.000292707757900024,670367.065390768,648769.994278735,670364.788891697,648791.532263767,0.000780990342099996,0.000488282584199973,2020.21192640587,2020.21221911363,225200000,NA
84,87,0.000599094487100049,670367.065390768,648769.994278735,670368.666789439,648741.332786508,0.00108737707130002,0.000488282584199973,2020.21192640587,2020.21252550035,225200000,NA
85,1,0.02275356396,670364.788891697,648791.532263767,675302.880549947,645490.190399152,0.0235345543021,0.000780990342099996,2020.21221911363,2020.23497267759,225200000,hCoV-19/Belgium/Rega-0327210/2020|EPI_ISL_458180|2020-03-27|Europe
85,86,0.000650230631099979,670364.788891697,648791.532263767,670341.850843245,648846.175213088,0.00143122097319998,0.000780990342099996,2020.21221911363,2020.21286934426,225200000,NA
86,2,0.01390661202,670341.850843245,648846.175213088,656200.231971754,646811.06146271,0.0153378329932,0.00143122097319998,2020.21286934426,2020.22677595628,225200000,hCoV-19/Belgium/HCM-0324151/2020|EPI_ISL_420408|2020-03-24|Europe
86,3,0.05215797814,670341.850843245,648846.175213088,691166.3633849,703641.402744044,0.0535891991132,0.00143122097319998,2020.21286934426,2020.2650273224,225200000,hCoV-19/Belgium/JFA-0407396/2020|EPI_ISL_462250|2020-04-07|Europe
87,91,0.0251638439,670368.666789439,648741.332786508,670410.522552905,650434.795149862,0.0262512209713,0.00108737707130002,2020.21252550035,2020.23768934425,225200000,NA
87,88,0.000343843901899954,670368.666789439,648741.332786508,670353.205956181,648752.167923845,0.00143122097319998,0.00108737707130002,2020.21252550035,2020.21286934426,225200000,NA
88,90,0.07127,670353.205956181,648752.167923845,683878.130839573,701267.75225433,0.0727012209732,0.00143122097319998,2020.21286934426,2020.28413934426,225200000,NA
88,89,0.01652,670353.205956181,648752.167923845,688502.802803408,717311.856925369,0.0179512209732,0.00143122097319998,2020.21286934426,2020.22938934426,225200000,NA
89,4,0.0547636612,688502.802803408,717311.856925369,685964.440742052,696256.548512256,0.0727148821732,0.0179512209732,2020.22938934426,2020.28415300546,225200000,hCoV-19/Belgium/rega-0414476/2020|EPI_ISL_476986|2020-04-14|Europe
89,5,0.03563797814,688502.802803408,717311.856925369,685267.08351016,720607.089017881,0.0535891991132,0.0179512209732,2020.22938934426,2020.2650273224,225200000,hCoV-19/Belgium/RIM-0407393/2020|EPI_ISL_462247|2020-04-07|Europe
90,7,0.0437295082,683878.130839573,701267.75225433,689799.569681004,694199.047163746,0.1164307291732,0.0727012209732,2020.28413934426,2020.32786885246,225200000,SARS2-CoV/Belgium/Human/rega-0430631
90,6,1.36612022100246e-05,683878.130839573,701267.75225433,683874.526257673,701268.028935049,0.07271488217541,0.0727012209732,2020.28413934426,2020.28415300546,225200000,hCoV-19/Belgium/rega-0414477/2020|EPI_ISL_476987|2020-04-14|Europe
91,8,1.5573770379973e-05,670410.522552905,650434.795149862,670415.850972937,650431.819850343,0.02626679474168,0.0262512209713,2020.23768934425,2020.23770491803,225200000,hCoV-19/Belgium/Rega-0328208/2020|EPI_ISL_458178|2020-03-28|Europe
91,92,0.02446,670410.522552905,650434.795149862,670776.708716203,650236.722413081,0.0507112209713,0.0262512209713,2020.23768934425,2020.26214934425,225200000,NA
92,9,0.08757743169,670776.708716203,650236.722413081,666141.43614866,654911.256906113,0.1382886526613,0.0507112209713,2020.26214934425,2020.34972677594,225200000,SARS2-CoV/Belgium/Human/rega-0508545
92,10,0.08757743169,670776.708716203,650236.722413081,611049.430021487,729479.966192296,0.1382886526613,0.0507112209713,2020.26214934425,2020.34972677594,225200000,hCoV-19/Belgium/ULG-10173/2020|EPI_ISL_455961|2020-05-08|Europe
93,94,0.00139897813900003,670382.785818671,648700.168952376,670381.279302881,648688.299650614,0.00143122097314002,3.2242834139995e-05,2020.21147036612,2020.21286934426,225200000,NA
93,97,0.000945616691500006,670382.785818671,648700.168952376,670358.248081015,648709.509417063,0.000977859525640001,3.2242834139995e-05,2020.21147036612,2020.21241598281,225200000,NA
94,11,0.06308693989,670381.279302881,648688.299650614,674203.622400113,674153.927525116,0.06451816086314,0.00143122097314002,2020.21286934426,2020.27595628415,225200000,hCoV-19/Belgium/rega-0411468/2020|EPI_ISL_476978|2020-04-11|Europe
94,95,0.03087,670381.279302881,648688.299650614,657962.841325481,605869.258903214,0.03230122097314,0.00143122097314002,2020.21286934426,2020.24373934426,225200000,NA
95,12,0.0185557377,657962.841325481,605869.258903214,657915.328720394,605800.415838827,0.05085695867314,0.03230122097314,2020.24373934426,2020.26229508196,225200000,hCoV-19/Belgium/VSL-0407279/2020|EPI_ISL_464073|2020-04-06|Europe
95,96,0.08684,657962.841325481,605869.258903214,645827.148612274,621419.501550141,0.11914122097314,0.03230122097314,2020.24373934426,2020.33057934426,225200000,NA
96,14,2.17486338099926e-05,645827.148612274,621419.501550141,639401.633967507,622057.543570629,0.11916296960695,0.11914122097314,2020.33057934426,2020.33060109289,225200000,hCoV-19/Belgium/rega-0501480/2020|EPI_ISL_476996|2020-05-01|Europe
96,13,0.01914743169,645827.148612274,621419.501550141,633852.536611144,629076.981479539,0.13828865266314,0.11914122097314,2020.33057934426,2020.34972677595,225200000,SARS2-CoV/Belgium/Human/rega-0508544
97,162,0.000365752703600009,670358.248081015,648709.509417063,659083.49141029,640830.95116218,0.00134361222924001,0.000977859525640001,2020.21241598281,2020.21278173551,225200000,NA
97,98,0.000218656330599976,670358.248081015,648709.509417063,670315.567480223,648807.159739765,0.00119651585623998,0.000977859525640001,2020.21241598281,2020.21263463914,225200000,NA
98,161,0.000234705116900047,670315.567480223,648807.159739765,670326.497606371,648774.314738048,0.00143122097314002,0.00119651585623998,2020.21263463914,2020.21286934426,225200000,NA
98,99,0.00635470511700004,670315.567480223,648807.159739765,676851.148071213,693453.32493095,0.00755122097324001,0.00119651585623998,2020.21263463914,2020.21898934426,225200000,NA
99,100,0.00467000000000001,676851.148071213,693453.32493095,676879.001548493,693525.137233046,0.01222122097324,0.00755122097324001,2020.21898934426,2020.22365934426,225200000,NA
99,108,0.00195999999999996,676851.148071213,693453.32493095,676892.887914725,693491.453273864,0.00951122097323998,0.00755122097324001,2020.21898934426,2020.22094934426,225200000,NA
100,105,0.01758703446,676879.001548493,693525.137233046,677043.632352649,693344.942750168,0.02980825543324,0.01222122097324,2020.22365934426,2020.24124637872,225200000,NA
100,101,0.00195999999999996,676879.001548493,693525.137233046,676892.887914725,693491.453273864,0.01418122097324,0.01222122097324,2020.22365934426,2020.22561934426,225200000,NA
101,15,0.09405278689,676892.887914725,693491.453273864,676588.239791147,692892.494259958,0.10823400786324,0.01418122097324,2020.22561934426,2020.31967213115,225200000,hCoV-19/Belgium/rega-0427424/2020|EPI_ISL_476992|2020-04-27|Europe
101,102,0.00386000000000003,676892.887914725,693491.453273864,684537.845179626,711233.717128088,0.01804122097324,0.01418122097324,2020.22561934426,2020.22947934426,225200000,NA
102,103,0.11798,684537.845179626,711233.717128088,681559.026038768,710765.916707574,0.13602122097324,0.01804122097324,2020.22947934426,2020.34745934426,225200000,NA
102,16,2.88524590099648e-05,684537.845179626,711233.717128088,684610.521130951,711057.1747861,0.01807007343225,0.01804122097324,2020.22947934426,2020.22950819672,225200000,hCoV-19/Belgium/VT-0325143/2020|EPI_ISL_420400|2020-03-25|Europe
103,104,0.00224000000000002,681559.026038768,710765.916707574,680008.668654507,691449.247429554,0.13826122097324,0.13602122097324,2020.34745934426,2020.34969934426,225200000,NA
